Condo Name (ID),Address,Status,Last Update,Request Received Date,Review Completion Date,id
1000 WEST WASHINGTON LOFTS (002357),1000 W WASHINGTON BLVDCHICAGO IL 60607 COOK ,Accepted Without Conditions,Unavailable,01/08/2015,01/26/2015,529550
1001 MADISON CONDOMINIUM (001113),CHICAGO IL 60602 COOK ,Accepted Without Conditions,Unavailable,07/27/2012,08/01/2012,485024
101 N PINE COURT (000192),CHICAGO IL 60607 -  0000 ,Accepted With Conditions,Unavailable,Unavailable,Unavailable,288250
1015 W. JACKSON (002496),1015 W JACKSON BLVDCHICAGO IL 60607 COOK ,Accepted Without Conditions,Unavailable,05/02/2016,05/04/2016,559791
1020 NORTH MOZART CONDOS (002269),1020 N MOZART STCHICAGO IL 60622 COOK ,Accepted Without Conditions,Unavailable,12/16/2013,01/03/2014,510127
1025 N. WOOD CONDOMINIUM (002252),ASSOCIATIONCHICAGO IL 60622 COOK ,Accepted Without Conditions,Unavailable,09/16/2013,10/01/2013,506024
1045 W ALTGELD (000323),CHICAGO IL 60607 -  0000 ,Accepted With Conditions,Unavailable,Unavailable,Unavailable,288373
1047 N. HONORE (002375),CONDOMINIUMCHICAGO IL 60622 COOK ,Accepted Without Conditions,Unavailable,03/09/2015,04/21/2015,532590
105 N PINE COURT (000193),CHICAGO IL 60607 -  0000 ,Accepted With Conditions,Unavailable,Unavailable,Unavailable,288251
1050 WEST DIVERSEY CONDO (002467),1050 WEST DIVERSEY PARKWAYCHICAGO IL 60614 COOK ,Accepted Without Conditions,Unavailable,02/19/2016,03/28/2016,554552
1058 -1060 WEST LAWRENCE (001363),CHICAGO IL 60640 COOK ,Accepted Without Conditions,Unavailable,10/16/2012,10/16/2012,489404
111 N PINE COURT (000183),CHICAGO IL 60607 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,288241
1111 W PRATT (000285),CHICAGO IL 60607 -  0000 ,Accepted With Conditions,Unavailable,Unavailable,Unavailable,288337
1115 S PLYMOUTH COURT (001504),CHICAGO IL 60607 -  0000 COOK ,HUD Accepted,Unavailable,09/14/2011,Unavailable,289489
1120 ARMITAGE (000872),CHICAGO IL 60607 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,288904
1122-1124 WEST DIVERSEY (002307),CONDOMINIUM ASSOCIATIONCHICAGO IL 60614 COOK ,Accepted Without Conditions,Unavailable,06/09/2014,06/17/2014,518206
1130-1134 WEST DIVERSEY (002308),CONDOMINIUM ASSOCIATIONCHICAGO IL 60614 COOK ,Accepted Without Conditions,Unavailable,06/09/2014,06/23/2014,518207
1131 WEST ADDISON CONDOMINIUM (002395),1131 W ADDISON ST.CHICAGO IL 60613 COOK ,Accepted Without Conditions,Unavailable,06/02/2015,06/02/2015,538211
120 WEST CHICAGO CONDOMINIUM (000199),CHICAGO IL 60302 COOK ,Accepted Without Conditions,Unavailable,03/28/2012,Unavailable,479546
1212 N LASALLE (000744),CHICAGO IL 60607 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,288779
1216-1218 W SHERWIN (000588),CHICAGO IL 60607 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,288631
1226 N. NOBLE CONDOMINIUM (000088),CHICAGO IL 60642 COOK ,Accepted Without Conditions,Unavailable,01/05/2012,Unavailable,476304
1242 W JACKSON CONDOMINIUM (002280),1242 W JACKSON BLVDCHICAGO IL 60607 COOK ,Accepted Without Conditions,Unavailable,01/28/2014,02/25/2014,511846
1244 NORTH WOOD CONDOMINIUM (000067),CHICAGO IL 60622 COOK ,Accepted Without Conditions,Unavailable,10/14/2011,10/26/2011,473404
1245 W OHIO AVENUE CONDO ASSOC (002288),1245 W OHIO STCHICAGO IL 60622 COOK ,Accepted Without Conditions,Unavailable,03/06/2014,04/23/2014,513527
1248-1254 W THORNDALE (000191),CHICAGO IL 60607 -  0000 ,Accepted With Conditions,Unavailable,Unavailable,Unavailable,288249
1250 NORTH LASALLE (000996),CHICAGO IL 60610 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,289020
1251-1265 W GRANVILLE AVE COND (002497),1251 GRANVILLE AVECHICAGO IL 60660 COOK ,Accepted Without Conditions,Unavailable,05/02/2016,06/13/2016,559851
1310-1312 E 54TH STREET (000620),CHICAGO IL 60607 -  0000 ,Accepted With Conditions,Unavailable,Unavailable,Unavailable,288660
1322 W HURON (000973),CHICAGO IL 60622 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,288998
1324 W PRATT CONDO ASSOCIATION (002541),1324 W PRATT BLVDCHICAGO IL 60626 COOK ,Accepted Without Conditions,Unavailable,09/02/2016,09/08/2016,567752
1325-27 W. ALBION (002294),CONDOMINIUM ASSOCIATIONCHICAGO IL 60626 COOK ,Accepted Without Conditions,Unavailable,04/15/2014,04/24/2014,515428
1343 GREENLEAF (000123),CHICAGO IL 60607 -  0000 ,Accepted With Conditions,Unavailable,Unavailable,Unavailable,187272
1400 MUSEUM PARK (IL0734),CONDOMINIUMSCHICAGO IL 60605 COOK ,HUD Accepted,Unavailable,12/17/2008,12/17/2008,411823
1410 - 1412 W ARGYLE (001190),CHICAGO IL 60640 COOK ,Accepted Without Conditions,Unavailable,08/14/2012,08/14/2012,485624
1410-1412 BRYN MAWR (000528),1410-12 BRYN MAWRCHICAGO IL 60607 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,288571
1416 N CAMPBELL CONDOMINIUMS (000010),CHICAGO IL 60622 COOK ,Accepted Without Conditions,Unavailable,02/22/2011,02/22/2011,462923
1416 N NOBLE (000925),CHICAGO IL 60622 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,288957
1417-19 W ARTHUR (002468),1417-19 W ARTHURCHICAGO IL 60626 COOK ,Accepted Without Conditions,Unavailable,02/29/2016,03/09/2016,554832
1421 WEST AUGUSTA (IL1122),CONDOMINIUMSCHICAGO IL 60622 COOK ,Accepted Without Conditions,Unavailable,05/04/2010,05/13/2010,450124
1431-1433 ROSEMONT (000701),CHICAGO IL 60607 -  0000 ,Accepted With Conditions,Unavailable,Unavailable,Unavailable,288737
1435 W BELLE PLAINE AVE (000698),CHICAGO IL 60607 -  0000 ,Accepted With Conditions,Unavailable,Unavailable,Unavailable,288734
1439-41 W AUGUSTA (IL0834),CONDOMINIUMCHICAGO IL 60622 COOK ,Accepted Without Conditions,Unavailable,05/04/2009,05/04/2009,422604
1441 W FARWELL (000377),CHICAGO IL 60607 -  0000 ,Accepted With Conditions,Unavailable,Unavailable,Unavailable,288422
1442-1444 W FARGO AVENUE (000602),CHICAGO IL 60607 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,288644
1464 W ERIE ST. CONDO (000055),ASSOCIATIONCHICAGO IL 60642 COOK ,Accepted With Conditions,Unavailable,07/25/2011,Unavailable,470203
1473-1475 WEST IRVING PK RD (002235),1473-1475 W IRVING PARK RDCHICAGO IL 60613 COOK ,Accepted Without Conditions,Unavailable,05/08/2013,06/14/2013,500304
1513 W. FARGO (002248),1513 W. FARGO AVECHICAGO IL 60626 USA ,Accepted Without Conditions,Unavailable,08/14/2013,09/24/2013,505384
1515 MICHIGAN AVENUE (000928),CHICAGO IL 60605 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,288960
1516 N STATE PARKWAY (000549),CHICAGO IL 60607 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,288592
1517 WEST BYRON CONDOMINIUM (002291),1517 W. BYRONCHICAGO IL 60613 COOK ,Accepted Without Conditions,Unavailable,03/19/2014,04/16/2014,514206
1517-21 N PAULINA CONDO (002406),N PAULINACHICAGO IL 60622 COOK ,Accepted Without Conditions,Unavailable,06/29/2015,07/06/2015,540632
1531 NORTH BOSWORTH (IL0622),CONDOMINIUMSCHICAGO IL 60622 COOK ,Accepted Without Conditions,Unavailable,08/06/2008,08/07/2008,401543
1533 W ARDMORE CONDO ASSOCIATI (002260),1533 WEST ARDMORECHICAGO IL 60660 COOK ,Accepted With Conditions,Unavailable,11/15/2013,12/04/2013,508986
1550 N LAKE SHORE DRIVE (000762),CHICAGO IL 60607 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,288796
1600 MUSEUM PARK (IL0831),CONDOMINIUMCHICAGO IL 60616 COOK ,HUD Accepted,Unavailable,04/28/2009,04/30/2009,422263
1616 N. BELL (002127),CHICAGO IL 60647 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,290082
1628 NORTH BOSWORTH (002231),CONDOMINIUM ASSOCIATIONCHICAGO IL 60622 COOK ,Accepted Without Conditions,Unavailable,05/10/2013,05/28/2013,499764
1633 N WESTERN CONDOMINIUMS (002273),1633 N WESTERN AVECHICAGO IL 60647 COOK ,Accepted Without Conditions,Unavailable,01/16/2014,02/06/2014,511245
1636 WEST MELROSE CONDOMINIUM (002334),LOTS 14&15 B8 GROSS NORTH ADDCHICAGO IL 60614 COOK ,Accepted Without Conditions,Unavailable,09/27/2014,09/25/2014,524127
1640-48 NORTH BURLING (001148),CONDOMINIUMCHICAGO IL 60614 COOK ,Accepted Without Conditions,Unavailable,07/01/2012,07/01/2012,485046
1644 W CULLERTON CONDOMINIUM (002414),1644 W. CULLERTONCHICAGO IL 60608 COOK ,Accepted Without Conditions,Unavailable,07/28/2015,07/30/2015,542291
1648 W. NORTH CONDOMINIUM (002310),LOT 13 IN FITCH'S SUBDIVISIONCHICAGO IL 60622 COOK ,Accepted Without Conditions,Unavailable,06/20/2014,06/20/2014,518868
1648 WEST HOLLYWOOD (000903),CHICAGO IL 60607 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,288935
1653 W. CORTLAND (000200),CHICAGO IL 60622 USA ,Accepted Without Conditions,Unavailable,03/26/2012,05/07/2012,479564
1660 N LASALLE (000548),CHICAGO IL 60607 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,288591
1667 N BISSELL (000164),CHICAGO IL 60607 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,288222
1709-1711 NORTH ROCKWELL (IL0968),CONDOCHICAGO IL 60647 COOK ,HUD Accepted,Unavailable,09/21/2009,09/23/2009,437331
1718 WEST SUPERIOR CONDOMINIUM (000128),CHICAGO IL 60622 COOK ,Accepted Without Conditions,Unavailable,03/09/2012,Unavailable,478644
1720 S MICHIGAN (IL0877),1720 S MICHIGANCHICAGO IL 60616 COOK ,Accepted Without Conditions,Unavailable,06/12/2009,06/12/2009,426443
1740 W CATALPA CONDO (002409),1740 W CATALPACHICAGO IL 60640 COOK ,Accepted Without Conditions,Unavailable,06/17/2015,07/27/2015,541474
1743 N WASHTENAW CONDOMINIUM (002421),1743 N WASHTENAW AVENUECHICAGO IL 60647 COOK ,Accepted Without Conditions,Unavailable,08/18/2015,08/18/2015,543391
175 E DELAWARE PLACE (000173),CHICAGO IL 60607 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,288231
1755 N ARTESIAN (IL1035),CONDOMINIUMCHICAGO IL 60647 COOK ,Accepted Without Conditions,Unavailable,11/25/2009,12/01/2009,442783
1763 WEST MORSE (IL0700),CONDOMINIUMSCHICAGO IL 60626 COOK ,Accepted Without Conditions,Unavailable,10/20/2008,10/27/2008,407863
1839 N WHIPPLE 3 (IL0330),CHICAGO IL 60647 COOK ,Accepted Without Conditions,Unavailable,09/12/2006,Unavailable,366383
1851 WHIPPLE CONDOMINIUM (002193),1851 NORTH WHIPPLE STREETCHICAGO IL 60647 COOK ,Accepted Without Conditions,Unavailable,12/28/2012,12/28/2012,493224
1866 N. SHEFFIELD (002315),1866 N. SHEFFIELDCHICAGO IL 66666 COOK ,Accepted Without Conditions,Unavailable,07/17/2014,08/19/2014,520286
1901 WEST CHICAGO CONDO ASSOC (002435),1901 W CHICAGOCHICAGO IL 60622 COOK ,Accepted Without Conditions,Unavailable,10/29/2015,11/03/2015,548253
1904 W DICKENS (000862),CHICAGO IL 60607 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,288894
1920 WEST DICKENS (IL0812),CONDOMINUMCHICAGO IL 60614 COOK ,Accepted Without Conditions,Unavailable,04/03/2009,04/07/2009,420163
1923 WEST CHICAGO (IL1069),CONDOMINIUMSCHICAGO IL 60622 COOK ,Accepted Without Conditions,Unavailable,02/03/2010,Unavailable,446383
1924 N HONORE CONDOMINIUM ASSO (002074),1924 N. HONROE STCHICAGO IL 60602 COOK ,Accepted Without Conditions,Unavailable,11/20/2012,11/23/2012,491744
